0,1,2,3,4,5,6,7,8,9
402264,0,0,0,6,.03,78,5,.03,71
402265,3,.01,71,5,.03,71,3,.02,78
402266,0,0,0,0,0,0,0,0,0
402267,5,.0633,43,13,.0817,71,9,.0483,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,9,.06,65,6,.05,65
402265,8,.05,71,7,.05,71,9,.0694,71
402266,0,0,0,0,0,0,0,0,0
402267,5,.0344,79,7,.0417,71,8,.0494,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,11,.06,71,3,.03,71
402265,15,.09,71,15,.1,65,8,.05,71
402266,0,0,0,0,0,0,0,0,0
402267,9,.0917,53,7,.0567,65,7,.06,52
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,10,.05,71,5,.06,65
402265,7,.04,78,6,.03,65,4,.02,65
402266,0,0,0,0,0,0,0,0,0
402267,12,.1567,41,6,.0356,71,6,.0389,65
